execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6399,True,"[-0.5, 3.0]",2.0,2.0,"[-3.71873390e-05  3.72477951e-05 -4.18436716e-05  1.87615284e-06
  5.13897849e-07  8.75463109e-07  2.10327312e-07  2.25335763e-07
  1.09103943e-07  2.08987403e-07]",0.0,30528
1,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.67915,True,"[-0.5, 3.0]",2.0,2.0,"[-1.30752677e-04 -2.48995192e-05 -1.04137253e-06  1.60848075e-05
  3.40046089e-06 -7.44603155e-07 -1.01515583e-06  7.51317763e-07
 -1.24011629e-07 -4.72114491e-08]",0.0,25737
2,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6448,True,"[-0.5, 3.0]",2.0,2.0,"[ 1.11440605e-04 -6.78594764e-05  3.21697103e-05 -1.06248452e-05
  7.76279881e-08 -1.95457427e-06 -2.44872981e-07  3.02059655e-07
 -4.80609883e-08 -3.85393277e-08]",0.0,29976
3,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6597,True,"[-0.5, 3.0]",2.0,2.0,"[-5.26473210e-06  3.31091976e-05 -1.47138946e-06 -1.80646975e-05
  1.39823466e-06  6.38569890e-07  5.34778355e-07 -6.05331057e-07
  2.35719054e-07  1.46016284e-07]",0.0,27834
4,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6253500000000001,True,"[-0.5, 3.0]",2.0,2.0,"[ 7.59950833e-05  4.05288019e-05  3.42092955e-05 -1.38757882e-06
 -5.79090277e-06  2.35425281e-07  2.79180089e-07 -7.72675575e-07
 -2.70089375e-07 -3.17165063e-08]",0.0,33198
5,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6845,True,"[-0.5, 3.0]",2.0,2.0,"[ 6.30624487e-05  9.12675395e-05  1.93654886e-05 -6.38672019e-06
 -4.38314242e-06  2.07634763e-06 -3.60031537e-07  1.30277066e-07
 -8.12507260e-08 -1.29027408e-07]",0.0,23513
6,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6484000000000001,True,"[-0.5, 3.0]",2.0,2.0,"[ 2.33122126e-05 -2.95660941e-05 -2.51462683e-05 -2.31137793e-06
  6.02822384e-06  4.24602539e-06 -1.16283667e-06 -1.86030725e-07
  8.61027869e-08 -4.44458831e-08]",0.0,30302
7,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6184000000000001,True,"[-0.5, 3.0]",2.0,2.0,"[-9.58889641e-05  1.57112697e-05  1.31413374e-05  5.69547027e-06
  1.10040355e-05 -7.80831169e-07  9.37223266e-07  1.92698287e-07
  2.30838956e-07  1.00868468e-08]",0.0,34088
8,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.65455,True,"[-0.5, 3.0]",2.0,2.0,"[ 2.47721722e-05 -4.61021034e-05  1.62310194e-05  1.24070941e-05
  1.30162331e-07 -1.68169472e-07 -3.62755744e-07  1.91967065e-07
 -2.98661012e-08  2.51432019e-07]",0.0,29414
9,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6475500000000001,True,"[-0.5, 3.0]",2.0,2.0,"[ 9.13734624e-05  2.36300522e-05 -1.96014837e-05 -4.98411061e-06
 -3.42529115e-06  1.24493572e-06 -2.04970230e-06  2.41921506e-07
  7.54731179e-08 -2.75954955e-08]",0.0,30355
10,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.61875,True,"[-0.5, 3.0]",2.0,2.0,"[ 1.91554347e-05 -4.41489181e-05  1.51451007e-05  5.91115442e-06
  3.38566217e-06 -1.56905986e-06  1.54311345e-06 -1.00664186e-07
 -3.69228497e-07 -1.11155949e-07]",0.0,33248
11,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.65605,True,"[-0.5, 3.0]",2.0,2.0,"[-9.94573410e-05 -2.07069832e-06  7.99271711e-06  1.33558246e-05
  5.52508392e-06  9.44140893e-08 -6.33033114e-07 -9.73601972e-07
  5.61050889e-08  1.10319088e-08]",0.0,28656
12,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.62475,True,"[-0.5, 3.0]",2.0,2.0,"[ 7.02473353e-06 -1.44413191e-05 -8.84247481e-06  8.28407576e-06
 -1.32426135e-06 -1.68355274e-06 -1.76699887e-06  4.23151923e-07
  1.80071187e-07 -1.62297690e-07]",0.0,32680
13,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6256,True,"[-0.5, 3.0]",2.0,2.0,"[ 5.81166872e-05 -9.47383069e-05  4.44624356e-06 -8.85586341e-06
 -4.25598557e-06 -2.29629381e-06  1.24967546e-07  2.73165481e-07
  4.16516399e-08 -1.10719141e-07]",0.0,33716
14,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6784,True,"[-0.5, 3.0]",2.0,2.0,"[-8.93454680e-05  1.50541101e-05  8.57077927e-06 -8.22940928e-06
 -1.55116886e-06 -8.76985730e-07 -2.34692015e-07  3.99341296e-07
  3.93361767e-08 -3.27124768e-08]",0.0,24501
