execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -0.28064088  58.63694901  80.73381907  83.44809998   1.22812689
  46.12729022 -25.51993606  69.41058289  74.59345724  59.63110608]",1400.1039313142012,32161
1,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  7.53143015  45.13494705  77.71938823  72.06541133  17.53565714
  29.86312763 -27.67952553  68.95523166  85.3358057   45.56423814]",1400.0988383832218,34834
2,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.52099888  43.28999545  96.46232496  74.26438729   4.17769787
  43.10278438 -20.81265016  66.88969288  68.93814561  30.79583247]",1400.0635201714156,37709
3,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  2.01947075  41.45376091  84.25437266  71.30804615  16.46252368
  42.64996306 -25.89793884  64.59905955  73.57373949  31.93953007]",1400.100620672857,33201
4,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  1.63573558  47.02622077  92.96353972  77.69895987   6.0759548
  31.1638009  -23.75154841  78.84914434  85.49782     30.49702713]",1400.0635456334733,32071
5,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 16.64558526  42.17617282  89.89213106  82.52564722   0.47979251
  48.69680961 -11.87286037  63.00717814  76.80079761  52.98163633]",1400.1053183847598,32349
6,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 15.23013752  39.65257601 101.24513607  59.82946333   5.22493019
  41.33736173 -23.3645031   72.82543905  67.87531422  42.21322542]",1400.1324549105902,35323
7,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  7.65102819  42.37515349 101.91330236  70.09980921   9.50258982
  44.98870482 -25.11230604  69.13200002  89.72306481  47.38894674]",1400.099297618017,34596
8,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 14.93389563  40.70385963  91.37565607  80.41575533  10.40649884
  48.02178888 -26.56432998  65.6612256   79.4384954   41.79350371]",1400.040940675262,29226
9,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 18.63992244  53.55362847  69.35849945  75.19503345 -11.19463713
  42.30921591 -15.14992846  78.74382176  72.06444849  54.63856397]",1400.165797075101,29891
10,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  5.68129945  50.91269644  74.46794491  78.60594763  14.12339699
  32.36281723 -28.670913    74.54318731  75.04154043  45.37251931]",1400.071276040566,31424
11,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 16.42331319  58.30962095  83.88163255  70.00041262  -0.09370084
  50.29937421 -22.14761198  69.39894084  77.58098062  38.43243783]",1400.0570403567333,33120
12,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  9.85142784  51.24141742  78.60905159  64.85678128  10.50401243
  41.67388548 -29.87519717  65.66400346  79.57898466  34.34815185]",1400.0862479579007,34208
13,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -0.95404093  44.92584238  73.71866488  87.23948136   6.79797899
  37.53393991 -24.17488758  63.15258319  94.42054745  52.56171228]",1400.1300458236667,30772
