execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  40.73993255   65.14362094  -56.58956937   66.82556586   23.0591922
 -111.52327454  -33.15804394   11.04435461   75.27615778   30.12456404]",5642.785295577403,22248
1,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 70.86720476  62.62817075   0.68596266  60.05399619   2.01549955
  35.30236373 -58.6539459   76.67825714 113.75155423 168.23726993]",491652.4575548547,37384
2,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  42.5317296    64.29753164  -82.5781641    63.83616132   15.54387886
 -102.74786794  -42.22475624  -18.77663016   57.82707573   38.36575496]",70680.68377739388,22448
3,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 47.65711667  65.22517623 -64.25540803  66.95837127  23.73738163
 -77.63457781 -32.32039513   2.25946177  70.13155068  61.95204601]",3199.964813302465,31289
4,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  39.52771616   64.74162124  -47.48636148   65.71383718   19.73171472
 -117.43625984  -37.19042675   21.46866692   81.39418542   24.56426792]",24635.37275660932,22181
5,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  36.27066773   64.56436119  -46.10746826   65.03403131   17.82787807
 -133.6242226   -39.55702035   23.05330365   82.31804426    9.42464872]",33103.33428097183,25387
6,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 60.28449889  64.64423506 -91.23424118  65.20239032  19.2700612
 -16.28193099 -37.61082651 -28.63420724  52.00547173 119.7178496 ]",132486.90809148882,29639
7,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 52.27907829  65.38771874 -45.65731893  67.33570903  24.84797737
 -54.9299898  -31.03731059  23.58860152  82.61571817  83.25845351]",25684.48220986614,26137
8,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  32.03194457   64.66915329  -65.11129596   65.54752313   19.22532978
 -154.0921755   -37.77116107    1.2800767    69.55416284   -9.88140512]",19415.327856358344,32661
9,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 75.70455704  66.73336812 -48.37797349  70.89358585  35.72298378
  59.64142414 -17.96659699  20.45191559  80.78819956 190.91723659]",48642.615657993934,30331
10,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 53.07997857  65.67819654 -86.28029456  68.39166587  27.82323331
 -51.04561333 -27.37655785 -22.95998348  55.3347236   86.91809346]",91791.34270904063,29142
11,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  65.36434586   61.47744335 -109.97261825   56.97498894   -5.78132725
    8.85635261  -67.48030338  -50.15878163   39.4242787   143.25498145]",343904.3239354546,36151
12,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  31.57639678   65.93277163  -52.1399223    68.72754135   28.93434942
 -156.53843186  -26.19380486   16.13827624   78.26324739  -12.11747097]",24444.486308867665,28442
13,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  20.07420254   65.23827277  -62.19707977   66.85648184   23.26255613
 -213.14112282  -33.02298379    4.65004756   71.5265241   -65.20840855]",43579.19989066888,30381
14,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  39.14133465   64.52649867  -85.11226173   64.97035398   18.17072131
 -119.48508158  -38.91013496  -21.62514363   56.12632362   22.68516912]",89027.08459619396,29067
15,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 53.64462017  63.63117249 -96.30245912  63.25077749  11.37855556
 -48.59160701 -47.16459445 -34.4947036   48.60692977  89.32470389]",174002.25003197184,29530
16,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 47.52844373  65.32548657 -77.31171758  67.34006298  25.22383461
 -78.2924114  -30.37819567 -12.68858777  61.36544086  61.34167195]",40556.760869226375,24996
17,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 60.68510663  65.69349888 -88.91812349  67.89378191  27.25179316
 -14.15345176 -28.08112529 -25.96095338  53.57216114 121.66073804]",115129.87115210404,28488
18,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 53.74166684  63.93025476 -41.62591535  63.13341575  12.47604649
 -47.93673279 -45.9779614   28.20876113  85.32519356  89.8714132 ]",43398.75514930183,31901
19,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  25.05125978   63.90811555  -49.65528913   63.63142128   13.19718377
 -188.40415776  -45.04070768   19.02002785   79.9322137   -42.07394583]",43379.64037346095,29045
