execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f2,10,10,1102,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083128  47.08552643 -30.2055934    4.56525698 -53.49620326
  16.31711065 -37.92458177  24.65265558  30.27432047  39.70425478]",200.00000007425385,241
1,f2,10,10,1210,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082808  47.08552658 -30.20559334   4.56548611 -53.49620332
  16.31711069 -37.92464724  24.65265562  30.27432052  39.70425477]",200.00000008469823,297
2,f2,10,10,1215,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082921  47.08552663 -30.20559321   4.56540947 -53.49620333
  16.31711057 -37.92462553  24.65265585  30.27432053  39.70425484]",200.00000007712623,396
3,f2,10,10,1054,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083092  47.08552644 -30.20559326   4.56528959 -53.49620321
  16.31711046 -37.92459093  24.65265579  30.27432034  39.70425477]",200.0000000817168,58
4,f2,10,10,1238,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082812  47.08552641 -30.20559328   4.56548341 -53.49620326
  16.31711074 -37.92464644  24.65265582  30.27432058  39.70425479]",200.0000000882994,452
5,f2,10,10,1106,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083066  47.08552662 -30.2055933    4.56529458 -53.49620338
  16.31711063 -37.92459247  24.65265567  30.27432056  39.70425484]",200.0000000607537,273
6,f2,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ -55.53323593   47.08552651  -30.20559327 -100.          -53.49620328
   16.31711062   -7.96013974   24.65265576   30.2743205    39.70425485]",12033.969362327714,248
7,f2,10,10,1082,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082895  47.08552647 -30.20559316   4.56542446 -53.49620337
  16.31711049 -37.92462966  24.65265567  30.27432059  39.70425482]",200.00000008878737,218
8,f2,10,10,1129,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082959  47.08552649 -30.20559337   4.56537802 -53.49620336
  16.3171105  -37.92461635  24.65265586  30.27432053  39.70425476]",200.00000007085987,193
9,f2,10,10,1165,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083273  47.08552664 -30.20559323   4.56515226 -53.49620329
  16.31711076 -37.92455172  24.65265577  30.27432053  39.70425486]",200.0000000719288,389
