execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f2,10,50,39,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-76.34511482621335 47.85271587966034 -15.22899028836406
 27.752351473305865 -62.87281113880956 -8.76993355669029
 -47.57637015206435 -15.22899028836406 27.752351473305865
 3.6401427861326567]",2.1631794584528794e-10,0
1,f2,10,50,16,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-99.97712503653102 -1.6853681439323367 26.460663486025567
 -6.9997036872987906 -21.998457171750758 20.943220194810607
 -1.6853681439323367 26.460663486025567 -6.9997036872987906
 42.22449175316319]",8.845209509666804e-11,0
2,f2,10,50,66,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-63.76995411827071 88.63414453344166 -24.923712549250027
 -9.954564076525358 -91.37419272932745 21.786029786878316
 -28.49635352895359 -24.923712549250027 15.341932090590248
 13.995330398510049]",1.0282642530849008e-10,0
3,f2,10,50,2,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-10.817178017826294 33.626960947053504 -8.94412770382273
 93.04562971878306 -68.55106832297275 -8.63335512105779 -82.10100172097823
 14.572142187941097 9.8473735584856 71.88652315789588]",1.4871787868000748e-10,0
4,f2,10,50,2,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-20.619999419653467 33.38555430792519 -18.475664541668465
 67.03984893103046 -75.4421494467968 -14.369003711559941
 -67.59915321918979 34.639294504110865 64.96418564120486 67.2113796681603]",1.8425840651928007e-10,0
5,f2,10,50,20,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-62.455754267749676 13.21639921855126 0.8644828252731855
 -31.638343845877515 -68.06381333553324 9.892691905798088
 13.21639921855126 0.8644828252731855 78.46665505970213 19.998633347537194]",1.3674203577515814e-10,0
6,f2,10,50,1,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-19.505498192645405 17.442738195147058 -78.72009776003226
 -75.89035459649058 -38.88254920556105 30.338755168651943
 -9.217553229548471 70.38169236088544 41.06903632772972 43.4354781836592]",1.3245211147561048e-10,0
7,f2,10,50,50,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-32.59314411394641 39.23209270339379 -0.5742336275108357
 -51.67941666923004 -26.619811919587463 -0.023499834888013993
 -2.8155888025054026 -0.5742336275108357 11.512780186813657
 -26.619811919587463]",1.1032466562577136e-10,0
8,f2,10,50,32,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-56.2397878360344 5.941063340380907 -28.178217041343956
 -39.715276702737626 -64.89544065305155 85.93377228227087
 5.941063340380907 45.17981242257298 29.603005398365895 39.49902720170314]",1.1047622626071024e-10,0
9,f2,10,50,23,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-30.61960924489607 46.953163407233916 -38.32312978486336
 18.350338613528436 -77.04498852965514 19.933031961990338
 -81.24708309994622 4.661071721913345 18.350338613528436
 49.758962187870935]",1.9155187105973606e-10,0
10,f2,10,50,38,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[2.4384526771553254 18.04027259708458 -68.1612533243813 50.18533036883747
 -36.599687538842375 2.4384526771553254 -91.65243749660779
 46.55905375930439 50.18533036883747 -36.599687538842375]",6.712352705930453e-11,0
11,f2,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-68.41753866501261 41.99619310658031 -42.79106610096206 71.44885538625064
 -88.05605445411095 33.40681883426129 -21.178971638086423
 86.48274378772749 71.44885538625064 -29.52444443954252]",6.84631442394187e-11,0
12,f2,10,50,11,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-47.33699696297307 27.239998766573507 -8.096574641595922
 -66.84392844855576 -71.68831756947662 22.687022907784524
 -8.757177546305115 -8.096574641595922 63.2016731093355 28.3994040999593]",2.508584662714148e-10,0
13,f2,10,50,235,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-58.3603238923345 40.43387638396257 -73.60146197711981 -56.18260815788321
 -40.44925194152691 -30.483756969501613 40.43387638396257
 33.77094128425529 59.12191408228418 -11.109944902055574]",8.040848550560821e-11,0
14,f2,10,50,55,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-38.05281489895918 99.13758890870588 -42.10073924162501
 31.868048983543275 -97.0981009992758 30.047830882392645
 -33.26176532431407 28.3214412848734 31.868048983543275 12.862048376355716]",1.1425345373237543e-10,0
15,f2,10,50,117,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-71.68894801983971 84.15993406944 -27.27305870488175 53.97064876587038
 -54.93009210972701 -21.45512066757213 -56.06973955322094
 -27.27305870488175 53.97064876587038 69.63248205502433]",1.270859907089497e-10,0
16,f2,10,50,2,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-49.943738651195325 70.11768940043703 -16.37455993028422
 97.54669326636883 -62.4891396320554 81.72395671233323 -52.00327928014063
 26.994650989494147 8.900728280904133 43.89474689787713]",1.6502578594748182e-10,0
17,f2,10,50,39,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-64.94840865911368 14.72198756020751 -19.451558735397526
 2.277122225759925 -23.111067732568742 -11.000786775986242
 -46.60886160150304 -10.209986340594313 2.277122225759925
 91.61696177244502]",1.2121110131805353e-10,0
18,f2,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-56.449629762469215 78.8348625470949 7.827416798353397 25.67705885967986
 -97.28112005808323 -41.21280505964231 -59.55626485915939
 24.778267491083568 25.67705885967986 -3.0085652132850242]",7.332517206024933e-11,0
19,f2,10,50,145,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-30.69427404188194 -22.233184961004554 -74.77382571201048
 -27.024803903591447 -16.5589272278297 43.33679046042863
 -22.233184961004554 64.6692961366904 -27.024803903591447
 56.28938676147365]",6.782684413281595e-11,0
20,f2,10,50,44,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-92.82208287662934 57.214288705370166 -20.98696368922255
 6.7604908161019495 -23.832188490990717 24.273949656132103
 -52.37823016279168 42.35941982885058 6.7604908161019495 62.09248425427148]",1.7741799587713718e-10,0
21,f2,10,50,29,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-38.37712135262423 77.25361158702918 -7.653556150001535
 -60.87792167421073 -8.813530782406659 -38.37712135262423
 -27.29151417158171 -7.653556150001535 13.046537337518373
 58.86728248414025]",7.306051481605849e-11,0
22,f2,10,50,61,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-62.1777289478876 47.33324590352623 46.18841761649645 36.36795431608272
 -63.88851681565795 45.66618602221496 -60.69167782065428 46.18841761649645
 36.36795431608272 54.69402100643515]",1.2572759872724855e-10,0
23,f2,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[2.3970036871785254 58.258118211269505 -12.515762215401537
 90.64821667503531 -41.77887659846855 2.3970036871785254
 -76.05208460416002 12.957089831650606 21.017401224196618 59.0022243226162]",2.0492948239772016e-10,0
24,f2,10,50,7,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-55.98654004342964 77.80963533974477 37.191753124901794
 1.1286123506075256 -96.35896284556303 -12.273343360934604
 -29.379306408352974 37.191753124901794 29.342379775912775
 84.84391148110365]",7.200098337968296e-11,0
25,f2,10,50,183,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-38.14848287269057 18.17707229550662 8.150488088400294 -33.27921010664818
 -92.9063136208522 -23.39037436612618 18.17707229550662 8.150488088400294
 94.6256217594761 52.06042048751459]",7.355167766136781e-11,0
26,f2,10,50,49,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-28.07029178309807 26.652749872381335 -10.405733258821698
 58.214657328170205 -54.449369181150416 -2.90152919929416
 -75.69309295350656 -3.6716742143045593 58.214657328170205
 14.606551706993258]",2.2023700957414279e-10,0
27,f2,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-41.90937354545281 47.882196023718706 -28.605109520501415
 86.75143026759469 -19.393764165000448 67.38602169357694
 -83.30531753086939 -8.598935319544324 -28.419818768844095
 -16.729371276924425]",7.929891998304401e-11,0
28,f2,10,50,6,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-38.05783938445963 71.11048219466764 -72.90240241308463
 30.354350839894266 -41.941840139724576 -38.05783938445963
 -42.82658137628632 50.318145826684884 30.354350839894266
 -4.9886948902355215]",1.0979706443950198e-10,0
