execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 29.39449145 -58.86672705  35.63592633 -62.34344287 -61.20114375
  29.86581822 -27.38972568  17.94099609  39.8610341   30.01666464]",900.9949590570932,3490
1,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 28.71665934 -57.55158043  49.02816043 -85.9664768  -55.61265162
  29.42263458 -24.54756802  18.21904541  39.90840787  29.42931482]",905.7293089383462,15537
2,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 47.16517112 -71.83646967  32.43571545 -79.23810491 -45.32309154
  22.51486753 -41.7939905   24.60992352  27.26598129  13.30971675]",903.9798362283732,7932
3,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 31.05712498 -64.77330183  25.93540105 -87.37047386 -69.35837163
  -0.99566037 -31.4600245   36.06119002  28.71275165   5.3581485 ]",906.5548974952447,12392
4,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 31.31279762 -47.67173076  42.86059189 -60.64623785 -86.1980217
  22.51486765  -6.1064155   24.60992359  27.65576784  13.30971714]",903.9798362283732,1400
5,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 12.93351419 -33.63407091  18.13155619 -56.91606526 -50.58121063
  38.91941753 -46.80257506  18.84245181  39.44457853   4.44915464]",908.9023818163972,22877
6,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 44.70438267 -77.55868128  49.59137636 -75.88490147 -79.26504538
  22.51486763 -34.51966964  24.60992363  50.34790735  13.30971719]",903.9798362283732,5217
7,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 27.4979816  -70.12742946  19.24137152 -58.32236147 -49.84429603
   5.6430189  -45.44375332  30.35627107  52.27986334  21.84612775]",907.1794487431137,5226
8,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ -3.68027483 -27.33384954  39.77298481 -68.4954211  -93.85092875
   7.69963694 -31.31239931  13.63317204  42.06920919  -7.08623502]",911.0324119382686,17002
9,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 12.16629445 -51.36976906  39.48030651 -86.86533323 -46.78720099
  22.51486775  -9.81032274  24.60992349  41.579427    13.30971718]",903.9798362283732,4086
10,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 29.39449162 -58.86672701  35.63592621 -62.34344308 -61.20114369
  31.2208866  -27.38972564   1.9461544   39.86103394   0.43240655]",901.9899181141866,1332
11,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 29.39450582 -58.86669872  42.68058758 -69.97069374 -62.6652358
  29.8658306    4.59389847  17.94097555  39.86095396  30.01663691]",903.9798362378032,2697
12,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 28.04566272 -70.4021368   32.38911235 -38.03161734 -75.49091054
  -1.50499374 -43.80465307  12.37623502  52.11213122  18.78823678]",907.1443914680696,8556
13,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 28.06477349 -70.70915106  19.58015528 -56.34894029 -51.79404794
  29.23885383 -45.37163909  16.79401794  51.29484024  29.846708  ]",906.9459298388632,1288
14,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 29.50549008 -59.31116256  13.11726317 -64.25378954 -74.0097548
  31.0812108  -35.04806712 -22.26060737  40.19794636  13.43951918]",908.3985261213952,3577
15,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 48.25050011 -54.23774757  49.26558235 -53.85813153 -62.08746347
  -1.13818106 -16.70188681  35.9434112   25.09055734   6.10613313]",906.8722016195208,2729
16,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 11.65370807 -45.8756656   31.64402405 -47.19135714 -51.91665287
  30.41681075 -33.48055502  42.37015558  52.10466132  16.89219408]",904.5007086501186,661
17,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 12.72922016 -56.81783363  25.29428377 -63.61141849 -52.38621879
  29.98791297 -13.40572588  18.03397164  30.6392649   29.96571229]",904.1715006532798,1909
18,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 12.16629469 -51.36976927   6.20313913 -48.66260914 -81.43137877
  22.51486777  -6.76348974  24.60992349  41.57942702  13.30971694]",905.9697493047408,2750
19,f9,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 28.5017327  -53.66986682  35.57698993 -63.06001864 -61.4785897
  14.35895928 -26.62854182   7.0844084   51.04479283   9.17074498]",903.1523301766692,870
