execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f9,10,50,100,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[39.526239185452965 -99.06090476149059 -40.51260982897327
 -62.761398823932765 3.4758214308228332 39.526239185452965
 -73.64042751912157 -40.51260982897327 73.27646518572584
 1.1732767650616722]",0.0115769919249842,0
1,f9,10,50,146,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[97.77221778129893 -77.05080540932497 11.248046798083777 23.7027133824171
 -36.95103938092541 3.802325492811164 -77.05080540932497
 2.2282956594256405 23.7027133824171 35.81376731308592]",0.0121568038621677,0
2,f9,10,50,24,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[9.932495575741825 -26.731519664995915 73.78332528641576
 -28.573013260087848 -56.235842734125455 9.932495575741825
 -26.731519664995915 21.68843156100992 -28.573013260087848
 -56.235842734125455]",0.0090208020785917,0
3,f9,10,50,0,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[56.06295290227342 -86.60611521343473 30.44462501323696 -80.88663699867729
 38.95299543464114 -17.116228169328423 10.551452483476467
 39.58094928646872 48.27143384325552 13.166866911518625]",0.010713571471584,0
4,f9,10,50,3,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[14.364938728676975 -62.19484810876903 38.66889814346277 4.224066616164251
 -68.69355745364936 0.5066118653868728 10.029485517610311
 10.385288146274931 47.49039468293526 15.534107869507835]",0.0131559782731487,0
5,f9,10,50,284,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-17.15299618378974 -27.790316307238186 78.59685887105968
 -0.6608981754810941 -17.970459881080174 -17.15299618378974
 -86.23671828526884 78.59685887105968 -0.6608981754810941
 28.29295450756635]",0.0096859903268595,0
6,f9,10,50,25,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-20.325416237743354 -26.43506821317756 41.02078714427762
 7.1454641078420025 -99.1709945244953 -14.644093944559032
 9.341565255297127 41.02078714427762 36.0502560753599 -99.1709945244953]",0.0120387392422908,0
7,f9,10,50,13,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[89.68565921174371 -44.68738550977316 61.5741692907103 -44.73656275784133
 -80.13049716807387 89.68565921174371 -78.0144046925576 61.5741692907103
 -44.73656275784133 20.73059477158239]",0.00914526817273,0
8,f9,10,50,58,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[11.071294764466089 -59.31804556960189 70.15575792329588
 17.075628871091112 -0.3699228097144811 93.1420870355764
 -59.31804556960189 -14.395619706375967 17.075628871091112
 33.74021033449287]",0.0124646240577679,0
9,f9,10,50,67,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[64.97409290010964 -57.148807423012514 63.62455737231588
 -1.0505869724930221 -54.4909312640615 64.97409290010964
 -57.148807423012514 63.62455737231588 -1.0505869724930221
 -54.4909312640615]",0.0111183619492514,0
10,f9,10,50,165,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-13.197201333341255 -91.38052875900111 19.65113425582183
 -95.76696176556901 -19.306031903866796 -13.197201333341255
 -48.67848663020069 19.65113425582183 82.08042472126692
 -19.306031903866796]",0.0108770832904181,0
