execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 13.01977766   6.95148378  58.15606764 -36.43045931  57.58911831
 -16.46290168 -37.56007384 -15.16447451  -0.78951136   5.22278334]",607.8033117379966,52543
1,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -1.5414118   97.27635755 -70.05993226  88.62348148 -26.52057903
  76.80778109 -55.49299634  73.03130128 -44.73293479 -10.09968286]",610.266418640674,50518
2,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 35.58058795  29.58848284  75.87033636 -29.36768768  67.62798396
 -31.04280694  23.62873372  71.45563664  51.02231814  47.16311208]",609.1386785683044,64254
3,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 62.20263676  24.99872222 -74.75441885  83.71744714 -46.79099395
  -9.62746409 -57.83475199  73.50442868 -26.07289777 -30.11992414]",611.4185286697328,64634
4,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 22.49012769 -14.2492916   46.76251333  80.59468757 -18.57916385
 -21.35194429  64.96610467   9.70532647  44.17495007  24.0036798 ]",611.8148655256804,68175
5,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-41.29709212  79.07373353 -37.832745    35.14193244 -39.97949547
 -60.24588173  85.86654104  26.86118857  67.52474525 -42.36017296]",610.8097080919566,66082
6,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 45.622331    -1.78702284  35.60644301 -34.65867758  71.53900668
 -70.3046291  -28.65569727 -27.28263865 -17.74784222 -10.45156386]",610.6198535822211,50281
7,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 59.14823029  88.46896637 -82.25963797  54.32958606  85.48828894
 -39.4972051   -6.07951685  60.2908531   26.384547    34.20427008]",610.6272891452888,66396
8,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 32.36568545 -17.5760368   15.80204358  55.21136593 -97.18794076
 -62.45171726  15.56577303 -28.96128736  -5.39926112  11.41992354]",608.3877152235093,36539
9,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 16.73399555  58.41093419  -8.73088844 -33.6498148   84.95484886
  -8.15695691 -84.0192998  -22.81451071 -61.21918455  47.60383941]",610.5984701002598,57311
10,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 66.26522068  44.64275124 -12.52764    -42.07943298  33.30307951
 -12.08285225  28.36828037 -46.68619809  85.83364481  91.95937792]",610.8750266876879,69448
11,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 34.26613716  36.75253211  34.89820793  19.46681934  33.40340525
 -21.62948784  84.13725797  70.33233455 -18.52202999  -1.86159638]",610.7672704227023,40356
12,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  5.49127591 -20.07315476  75.65090311   6.29692633 -71.35601938
 -46.66173281 -34.74301974 -33.0028632   -6.75153021  22.5561246 ]",606.8427108779052,37106
13,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -3.07009146  25.36458784  14.18686318  14.77718271  -2.18180668
 -36.21337645  33.41698621  12.94037844  41.11318248 -23.5313266 ]",607.7046417438999,21637
14,f6,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 66.50175971  12.51333921  66.60730275  -3.06359347  37.29288996
  -6.2762912  -34.95354131  32.30128724 -11.15152308 -29.25592377]",610.8537070514164,50585
