execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  4.32417356  33.44737805  93.31024877  84.87758092   9.39473969
  45.7922749  -23.13347318  64.38777362  75.36444322  35.76063086]",1400.0820018209165,24305
1,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.51225417  52.31673655  77.19151568  75.14052299 -11.20904145
  47.38569309 -11.74725422  67.68957951  94.07478377  46.057472  ]",1400.1599634323356,23388
2,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.86098928  45.88555161  74.24842412  85.4183578   13.94251279
  41.02065526 -20.5854991   66.42886731  70.85805041  48.00365031]",1400.1037697782897,24250
3,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  4.436205    34.26771958  85.90259124  71.35177062   5.8534614
  32.52063713 -23.58963561  54.96097114  93.71809339  36.01087006]",1400.1559503946123,22988
4,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  7.60698982  52.27522672  79.61954408  80.52205113   4.6650434
  41.79293042 -17.13177451  74.66552065  65.26355154  33.40112687]",1400.0638930773953,22875
5,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  1.96843853  38.88341889  82.22921971  71.34878075  19.22370716
  34.90019961 -26.09568062  65.07246145  78.55328028  35.54460994]",1400.113781371875,23834
6,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.48840016  53.12824439  79.71831728  82.66386214  -6.92396828
  40.74007878 -16.23553197  89.12826311  87.62255944  48.95531202]",1400.110405661109,25274
7,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 15.46983408  47.3089999  100.21898716  74.96331481   1.97405045
  31.96046735 -20.87432667  68.50764877  72.42689689  43.30220108]",1400.0476161880556,23017
8,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -0.43848977  33.46725003  87.22842829  74.74544432  -1.57233939
  36.71689116 -29.22845555  65.00824755  67.67731154  35.99494365]",1400.1751338349618,25677
9,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 14.39767282  38.40044853  91.3083333   80.94983214   5.81907898
  35.51119362 -17.07082702  61.89101204  72.27079325  62.60934687]",1400.1239803711078,22825
10,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.92683731  31.42204316  75.57490885  79.56359378   5.60017324
  23.41517176 -24.17783591  73.7704963   81.87521999  32.84497803]",1400.137027704846,23742
11,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 19.29245748  52.38765474  91.18773012  61.72802606  -3.27695203
  38.52501977 -15.8473487   71.63771375  90.94678448  41.56550865]",1400.1158393914695,21611
12,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  1.7098558   56.64542374  89.1100775   79.07953372   3.14023111
  25.73160721 -27.03209688  69.60003568  74.41828765  49.6417564 ]",1400.0649139628777,25121
13,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.54279092  54.19309068  80.91954583  75.10327285 -13.98412188
  53.75269066 -16.16416055  82.62358908  76.3808528   47.11948062]",1400.1609238759534,24792
14,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.77463271  33.80028285  93.4525702   82.47354013  13.25245478
  42.42328093 -27.40676648  68.89465254  66.03929042  43.31304044]",1400.1019217078465,22231
15,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  5.05301683  47.96185049  90.28468843  82.79285273  -1.95520812
  49.45978279 -25.92085494  60.76755685  76.72874619  40.06854558]",1400.070650138371,24473
16,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  8.17471311  34.78695687  88.09171511  63.67103451   7.36708538
  54.88450942 -23.4158891   82.31521369  78.40134218  28.3841537 ]",1400.1657885091877,27864
17,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  5.92698984  59.18549861  74.24979966  69.66097985   4.41050651
  31.78509176 -19.724132    73.01807222  79.4835349   33.06849528]",1400.091104379109,23629
18,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -2.31405979  38.02819404 104.72996259  74.37884549  10.29341497
  46.14087255 -22.55911733  75.41780932  73.0919138   42.83192929]",1400.124880042123,22738
19,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.15554832  45.6796832   84.09939875  75.84445035  10.89302002
  23.89231995 -20.19720528  80.83176361  89.26629267  48.43982951]",1400.111226607062,22638
20,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.3686096   46.61452828  85.5553373   78.66241256   3.24906798
  30.44878196 -29.29854986  63.47076114  79.81739488  35.39663582]",1400.0482258274608,23255
21,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  1.86054378  50.81160364  89.43999328  75.25415532   9.81514386
  32.61105429 -28.2345861   85.46256673  68.52586005  54.55438278]",1400.1039128234245,21564
22,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -6.44270967  45.60175613  73.50163044  78.55076932   9.72033672
  26.88269371 -21.45805593  66.95897168  74.93515066  31.48100094]",1400.1315015735024,27131
23,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.34169052  53.00015654  89.77004886  76.46737888  -3.96138376
  54.07276139 -17.43024798  74.17093735  90.29242336  40.09033115]",1400.084893055331,26542
24,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 15.5740898   38.14785208  83.12369443  80.17194676   2.83019008
  27.76176608 -30.33504407  80.56148639  76.61382133  46.22119054]",1400.094367821891,22690
25,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -0.2182944   50.89433016  93.01149486  76.14439985  -2.65783527
  44.66819337 -26.74925086  90.30258466  85.26082685  45.60466706]",1400.1246927922514,24819
26,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.64058299  50.81832764  85.6484897   87.04101711  -0.89392698
  34.41816102 -14.47267351  71.67814035  94.89185947  53.34129744]",1400.117330746609,23195
27,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  7.83274587  47.77591528  92.33328752  79.64113813   0.28895938
  37.07819355 -21.7611779   77.32422266  99.67204812  46.75757551]",1400.0902472257064,20970
28,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.01111737  39.18339475  91.34960069  68.82643885   4.67908542
  50.02788128 -15.58915812  51.83366868  70.79867051  48.2838814 ]",1400.1596438359022,23753
29,f14,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.2464228   55.81639013  91.10555478  81.55518596  -7.2998424
  26.43728139 -16.40432991  74.25311441  76.71393901  38.47215647]",1400.086674311282,22685
