execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-9.13030528e+01  3.09088670e+01 -7.13193803e+01 -8.45703582e+01
 -1.09301669e+01 -6.13949032e+01  5.02560863e+01  5.96476520e+01
  2.66084269e+01 -3.44809003e+01  1.02583391e+01  9.44743685e+00
  1.00000000e+02  1.27972992e+01  5.38705855e+01  4.23132613e+00
 -9.95166758e+00  5.19886446e+01 -7.57406021e+01 -3.01946332e+01
 -7.82833358e+01 -1.81110063e+01  5.11806522e+01  4.84849937e+01
 -4.75436892e+01 -1.90998031e+01  5.53011708e+00 -1.73890166e+01
  4.01686983e+01 -9.20928813e-02]",466.67234883782953,3921
1,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           30.66462435  -81.41715495  -98.32932047   -9.76157072
  -61.76727444   52.01649789   49.38128506   24.96319832  -25.61474661
   14.13033272    1.40885332  100.           -8.16900719   57.24441353
    9.44640967   18.38352211   52.05327293  -66.19621606  -41.23676706
  -65.55447127  -18.56962011   52.43381636   54.84142804  -43.71012698
  -18.18123801    9.31298337  -28.39161187   40.256584    -19.57833881]",467.8274399616437,3245
2,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           27.08050513  -71.23675924  -65.12510168   11.0131485
  -58.16449526   12.20888708   44.80881186   30.61826601  -15.32831066
   12.90399098   28.10500259  100.           26.32891819   45.40026108
  -20.55070392  -60.99863089   47.17030144  -88.33345399  -36.71734106
  -59.8870085    18.9257068    38.35410297   46.65624061  -89.98131388
  -29.59357107    6.1309587    35.07492766   22.75313692   24.49738508]",470.52544363646007,9939
3,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695357  -75.30562416  -57.07588138   13.78099317
  -59.37021789    4.46212792   45.05035229   42.10766652  -33.62124206
   21.80251919   25.55167941  100.           34.7152831    37.21703261
  -20.49421154  -42.11575079   47.34887647  -85.99064216  -52.74015656
  -59.417974     22.47558792   40.22140332   54.63302397 -100.
  -26.99908018    5.96500506   28.59399217   19.58725239   25.32479486]",466.5566836203404,10024
4,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695079  -75.3056237   -57.07588081   13.78099242
  -59.37021908    4.46212804   45.05035183   42.10767079  -33.62124276
   21.80252024   25.5516782   100.           34.71528504   37.21703121
  -20.49420926  -42.11574818   47.34887622  -85.99064411  -52.74015675
  -59.41797649   22.47558772   40.22140604   54.63302647 -100.
  -26.99907635    5.96500525   28.59398492   19.58725277   25.32479394]",466.5566836203368,6429
5,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           13.14059674  -59.09538777 -100.           12.46406751
  -58.56754293   35.18671313   81.12292252    3.56186864  -64.53317069
  -17.64343073  -19.7360942    69.73805259  -33.25160733   38.94384994
   11.74313724   38.84257856   88.43509122  -58.29480773  -80.29838331
  -25.00781287    0.20559126  100.           23.01851951  -68.1471785
  -50.65823605   19.00204647  -24.18501014   50.60718101   -1.12258391]",476.3866702567804,6985
6,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           10.32676394  -81.5681978   -62.30692726   28.54725596
  -58.53879176   23.22385393   44.98347185   61.05859718  -11.85355159
  -18.34794707    8.94524263   89.95461411   37.03741513   28.03522732
   95.79043953   -7.95645661   82.00399106 -100.          -78.70719205
  -32.18614559   26.3059245    84.00783995   58.01822522 -100.
  -36.6759942    25.39640533   21.61096863   40.56072566   17.37872833]",463.40070979218433,5553
7,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           12.31239044  -64.15842993  -84.80862455   15.37174369
  -58.88872394   33.63281665   81.31060858   20.4258376   -56.28412805
  -17.31375329  -13.49629344   67.10242828   -7.96455841   37.34273188
   10.24336722   17.47232096   88.57845212  -66.46623517  -80.33223441
  -28.15790435    1.18348869  100.           33.95281347  -71.32674106
  -50.26275623   15.65543637  -18.31886847   47.14568852    7.88973624]",473.8500863572756,13093
8,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-69.70837407  34.23523142 -70.06739416 -81.22778604  -1.61381084
 -61.79957325  48.29450328  55.90185865  16.14266986 -56.72352975
  24.53585567  -0.18661143 100.           0.4610867   49.91166657
 -10.45115701  -3.41364287  51.6167302  -54.47351216 -53.92462185
 -46.31340778 -21.17147537  45.87256326  39.40949638 -67.31452167
 -26.22128625   4.48323681 -11.56248478  28.64447197  12.68408673]",442.41343057479537,17686
9,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.63723463  -66.02356782  -63.8288126    11.34810991
  -58.63025555    4.2996138    46.05272823   31.33472894  -15.32154084
   -8.55471049   27.46314294  100.           23.95630804   43.31186707
  -20.89535552  -65.48979707   47.59106852  -88.18070047    4.97356711
  -61.01026702   22.5025813    39.74665928   44.03227628 -100.
  -27.90934015    5.61972652   31.59559163   22.03850129   22.7722181 ]",474.52706035938365,12156
10,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695181  -75.30562273  -57.07588148   13.78099263
  -59.37021859    4.46212731   45.05035277   42.10766841  -33.62124158
   21.80251883   25.55167937  100.           34.71528372   37.21703122
  -20.49420979  -42.11575039   47.34887632  -85.9906438   -52.74015563
  -59.41797681   22.47558932   40.2214054    54.63302426 -100.
  -26.99907858    5.96500556   28.59398674   19.58725298   25.3247938 ]",466.5566836203378,9232
11,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-69.40034743  34.32375375 -69.63805142 -82.19541024  -1.85595912
 -61.81256279  48.33798168  56.15561509  14.90275535 -57.53916383
  24.46357702  -0.55681935 100.          -1.04651813  50.0944313
 -10.38990693  -2.4706102   51.61198211 -53.72232306 -53.95073747
 -46.04838984 -21.21087308  45.76090484  38.55162161 -67.31598586
 -26.33434615   4.55692561 -11.79647665  28.80411302  12.37795188]",442.09663466052126,1445
