execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f4,30,50,265,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-76.34511482621335 62.38771233820387 -15.22899028836406
 -4.882176583031253 -62.87281113880956 -53.659674705759095
 72.22460161315735 27.678021155389715 27.752351473305865 -73.7421343053488
 -41.5645269664956 39.292628930500115 54.616710810974325
 -1.3186075421643721 -0.805940925306075 -76.34511482621335
 62.38771233820387 59.11807370864261 -4.882176583031253 -62.87281113880956
 -53.659674705759095 72.22460161315735 27.678021155389715
 27.752351473305865 -73.7421343053488 -41.5645269664956 39.292628930500115
 54.616710810974325 -1.3186075421643721 -0.805940925306075]",4.571524726536278e-05,0
1,f4,30,50,174,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-16.595599059485195 50.162420627231114 -75.16533697601777
 -85.60514406210265 -23.783701741309528 -31.33075204511539
 24.964258837099806 38.18842841323371 91.88686421235047 -62.4736654195132
 -44.87937944782825 7.401423368108141 27.643742124066677
 -28.587678223441614 -11.13036851077456 -16.595599059485195
 50.162420627231114 71.9301907138402 -85.60514406210265
 -23.783701741309528 -31.33075204511539 8.802023762787627
 38.18842841323371 91.88686421235047 -62.4736654195132 -44.87937944782825
 7.401423368108141 27.643742124066677 3.606512318881741 -11.13036851077456]",7.627945553576749e-05,0
2,f4,30,50,47,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-41.82884418913009 26.46218396679268 10.176572537012603 -74.6103087344046
 -33.26564607083216 -73.7724321226732 53.07922138718297 13.257246823233302
 35.86520271624417 -34.67606622157963 -92.15413891163912 37.28205248754034
 -10.338675129724237 19.808072900469327 15.854620036477328
 -41.82884418913009 26.46218396679268 10.176572537012603 -74.6103087344046
 -33.26564607083216 -73.7724321226732 53.07922138718297 13.257246823233302
 35.86520271624417 -34.67606622157963 -92.15413891163912 49.11065166629044
 -10.338675129724237 44.625178038277795 -49.349812051089174]",9.189879513049718e-05,0
3,f4,30,50,323,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-81.55659822565515 8.203934671954244 -47.930985454216966
 -56.918493470701904 16.016376395032722 23.602723017099578
 47.831383026412766 95.92914345302043 27.25127306459727 -19.05577743368842
 -61.20785470723051 -29.89007352833808 33.87576704527021
 -4.868849172937729 17.214308637144 -40.41137525187859 8.203934671954244
 76.58653659274691 -56.918493470701904 16.016376395032722
 23.602723017099578 25.826381910609115 95.92914345302043 27.25127306459727
 -19.05577743368842 -61.20785470723051 -29.89007352833808
 33.87576704527021 -4.868849172937729 17.214308637144]",0.0001255938763079,0
4,f4,30,50,322,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[5.581764683584069 -48.15228894657335 21.365376856479372 19.52498621855061
 19.959498237839938 -48.9265916803473 50.17581380450065 7.460517696662777
 7.9303306940779095 -13.890697648095369 47.37075559143156
 2.4848560747029467 54.16168660672997 41.08227357245141
 -11.813492073058327 5.581764683584069 -48.15228894657335
 21.365376856479372 19.52498621855061 -31.51912384333626 -48.9265916803473
 50.17581380450065 7.460517696662777 7.9303306940779095
 -13.890697648095369 -87.44963739467362 2.4848560747029467
 -29.19165676592297 41.08227357245141 -11.813492073058327]",4.900679257202493e-05,0
5,f4,30,50,261,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-43.06282387172724 -26.904446417567044 53.46627622355669
 -64.28118635145609 -24.170449603687615 -73.23040164675191
 -6.066703012366133 -27.492460835967478 85.42428067088363
 -52.019863940404456 -93.64502250400915 31.82122061436101
 80.97220214199331 32.369556322903435 -53.77026664657052
 62.746495517383636 -26.904446417567044 53.46627622355669
 -64.28118635145609 -24.170449603687615 -73.23040164675191
 -6.066703012366133 -27.492460835967478 0.30551265254869975
 -52.019863940404456 -93.64502250400915 31.82122061436101
 80.97220214199331 32.369556322903435 15.927937346455451]",7.4848221342168e-05,0
6,f4,30,50,279,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-89.10509843552907 24.13952330238449 13.359354265010253
 -49.818787135738376 -62.00817550893287 -28.881180762465135
 -0.45972168447754314 -35.213653072209155 15.713106464072425
 -46.3141549472077 -92.46869940742977 65.12444388117754 87.53245474388223
 -25.464783379081382 35.89343251504181 36.06573159961266 24.13952330238449
 59.56188281419378 -40.62777863383107 -62.00817550893287
 -28.881180762465135 96.36741998640224 93.44446091030807
 15.713106464072425 -46.3141549472077 -92.46869940742977 65.12444388117754
 87.53245474388223 86.77278000131446 -43.09494968799095]",7.54309953932057e-05,0
7,f4,30,50,125,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[14.242439912551049 91.09366460058519 -7.372756392370533
 -92.27069501168134 55.850418398636464 -65.59562844804555 65.3887056727979
 42.469036490436594 30.88365034487728 13.999529425105024
 -95.66133350292338 23.928391808382216 -17.366776789604117
 64.28317505556086 -7.761207309282867 14.242439912551049
 -55.05630553259036 55.70897894738661 -92.27069501168134
 55.850418398636464 -65.59562844804555 -37.80941377587348
 42.469036490436594 30.88365034487728 13.999529425105024
 -95.66133350292338 23.928391808382216 -17.366776789604117
 64.28317505556086 -7.761207309282867]",4.285905060651128e-05,0
8,f4,30,50,34,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-85.81143104996025 9.469265586563651 21.27332463148433 -66.0536790073356
 13.37217141851525 -23.354413616977126 -37.41928409343056
 -25.354801971196906 29.95505886715526 -93.63350298288533
 31.810743280788643 42.21294862515731 90.83872576954872 58.236784168664
 48.58131106974761 16.242100240082166 9.469265586563651 21.27332463148433
 -66.0536790073356 13.37217141851525 -23.354413616977126
 12.010063952245247 -25.354801971196906 22.654613704171524
 -93.63350298288533 31.810743280788643 42.21294862515731 90.83872576954872
 77.53842957406144 48.58131106974761]",4.759688329874132e-05,0
9,f4,30,50,71,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-83.18806976692998 -72.25226004408962 -47.79668337049441
 34.644365343869254 33.04256684539337 -60.099774428696364
 -64.02649875177391 10.890042618385863 10.59589498422892
 17.710918982505433 -45.095742611098856 19.2783927697199 45.0851033369419
 41.14169859072169 43.678238987756686 -83.18806976692998
 -72.25226004408962 37.05396674686969 34.644365343869254
 -78.12532146259844 -60.099774428696364 -64.02649875177391
 10.890042618385863 10.59589498422892 -87.53913582138814
 -45.095742611098856 19.2783927697199 45.0851033369419 41.14169859072169
 43.678238987756686]",6.026431123246752e-05,0
