execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.97115252   9.68952455  68.73741876  31.46675214  12.41140668
  50.25908822  60.64222478  78.22585866 -79.91641997  58.47017444
  18.01063506  78.39203299   4.42881095  -3.27625821  48.21561689
 -43.54513045  -0.30491344  64.13639806  11.94579515  55.22850957
  37.77761197  13.75792576 -40.52247567  26.62659477 -66.64274983
  20.15356574  25.75112943  36.76029684  62.52033855  77.1685158 ]",700.0147724077231,84694
1,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.11402787   9.30695983  68.73741871  31.46675202  13.24655442
  50.46355373  61.17402516  78.65321386 -79.78170016  58.47017464
  18.01063516  78.39203281   4.42881117  -3.27625831  48.21561698
 -43.26269896  -0.30491334  64.13639823  11.94579515  55.22850956
  38.18244679  13.75792583 -40.35076053  26.48012068 -66.6427499
  20.15356558  25.75112915  37.30799601  62.52033846  77.16851553]",700.0221414386447,81789
2,f7,30,10,16346,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.11400398   9.68949288  68.73740637  31.46669492  13.24657475
  50.46366863  60.64228606  78.22588963 -79.91641081  58.47025588
  18.01063374  78.39200837   4.42887759  -3.27624173  48.21572982
 -43.5451143   -0.30491543  64.13635518  11.94577017  55.22849748
  38.18233371  13.75793018 -40.52251179  26.62661422 -66.64280817
  20.15357787  25.7511012   36.76024855  62.5203302   77.16837818]",0.0,81744
3,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.04252504  10.07208893  68.7374187   31.46675213  12.7597288
  50.60912602  60.6422248   78.22585865 -79.91641988  58.47017449
  18.01063497  78.39203305   4.42881099  -3.27625831  48.21561684
 -43.82756148  -0.30491343  64.1363982   11.94579511  55.22850957
  38.28529917  13.75792573 -40.69419126  26.62659483 -66.64274986
  20.15356568  25.75112938  36.76029683  62.5203386   77.16851581]",700.0073960403342,84984
4,f7,30,10,16317,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.11405234   9.68955893  68.73742972  31.46683061  13.24655806
  50.46354266  60.64215645  78.22585492 -79.91642914  58.47011333
  18.01069199  78.39202818   4.428781    -3.27626191  48.21560313
 -43.54516749  -0.30484587  64.13633152  11.94580288  55.22855052
  38.18246671  13.75790708 -40.52246254  26.62657411 -66.64270883
  20.15357555  25.75116245  36.7603507   62.52030942  77.16854443]",0.0,82142
5,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.04252506   9.68952433  68.83275448  31.88730119  12.75972883
  50.60912604  60.64222481  78.22585867 -79.91641992  58.73896294
  17.7815691   78.39203297   4.28706069  -3.27625838  48.3887331
 -43.54513033  -0.30491338  64.13639812  11.94579501  55.22850958
  38.28529912  13.75792576 -40.52247586  26.62659483 -66.64274994
  19.80954629  26.05543472  36.76029681  62.52033858  77.12218471]",700.0123160725194,84924
6,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.11402774  10.07208911  68.77153036  31.30085874  13.24655444
  50.46355372  60.64222477  78.22585858 -79.91641994  59.12875897
  18.101182    78.3920329    4.27471856  -3.27625829  47.86125515
 -43.8275616   -0.30491339  64.13639819  11.94579503  55.22850962
  38.18244682  13.75792563 -40.69419107  26.62659483 -66.64274997
  20.2947932   25.88733366  36.76029685  62.5203385   77.23246294]",700.0123209888753,85703
7,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.11402785   9.68952447  68.70330706  31.63264518  13.24655443
  50.46355375  61.17402519  78.65321404 -79.78170018  57.81159037
  17.9200882   78.39203301   4.58290355  -3.27625847  48.5699789
 -43.54513035  -0.30491343  64.13639815  11.9457951   55.22850948
  38.18244681  13.7579258  -40.52247576  26.48012061 -66.64274984
  20.01233801  25.61492485  37.30799597  62.52033858  77.10456801]",700.0246026825571,89216
8,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.11402792  10.45465359  68.73741865  31.46675217  13.24655444
  50.4635539   60.64222465  78.22585839 -79.91641995  58.47017451
  18.01063514  78.39203298   4.42881109  -3.27625836  48.21561684
 -44.10999269  -0.30491347  64.13639817  11.94579532  55.22850965
  38.1824467   13.7579256  -40.86590659  26.62659479 -66.64274972
  20.15356565  25.75112925  36.76029694  62.52033853  77.16851576]",700.0197194892484,84997
9,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.18553071   9.68952417  68.77153032  31.30085875  13.73338004
  50.31798168  60.64222478  78.2258586  -79.91641997  59.12875913
  18.101182    78.392033     4.27471875  -3.27625837  47.86125509
 -43.54513027  -0.30491328  64.13639809  11.94579513  55.22850954
  38.0795942   13.75792578 -40.52247596  26.62659481 -66.64274979
  20.29479317  25.88733365  36.76029686  62.52033858  77.23246279]",700.0098572846081,83164
