execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 51.38028232  90.64087906 -56.694022    69.94296278  35.93730134
 -33.76350538 -36.71310197  -3.03294755  60.66011758  86.1739168
 -54.89838583  75.21843255  69.16060045  -1.57808933  68.31157488
 -26.11927267  41.20039279  63.11578647  24.77176377  73.73061863
 -14.90268378 -79.26203487  66.64305583  86.97723345  15.72321615
  32.62660862  27.14129963 -56.3014548   -2.00617165 -43.51678132]",738194.4109015975,169946
1,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  49.0756915   -22.46982504  -63.41298262   36.04594004   60.43964166
 -112.93795038  -27.99217876  -16.59352047   62.77541673   38.810397
  -54.54130016   75.49992458   70.5579754    30.64606616  -15.49114048
  -16.80769654   24.48477609   63.14149152   51.91607703   72.90163072
   48.43782914 -122.99486638   68.89972008   86.2418373    18.05231574
   36.17172391   14.16967806  -59.91330142   92.93742282  -51.67526682]",665883.776962973,145867
2,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  50.57071288   93.82025283  -59.64479551   72.97686083   15.17676312
  -89.5339304  -133.12092981   39.4559358    81.67759008  111.28088941
  -54.18000009   75.70856317   66.04439649  -18.9894165   115.36915286
 -102.96338361  -37.01484912   58.94597022   37.58782793   72.35994977
  -28.17690395  -56.42108178   50.89015397   43.54521918    3.02155677
   27.06494693   39.39222283   26.35219891  -10.89335137  -47.55075883]",990509.622721933,166851
3,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  46.20642296    6.42324669  -55.68864414   43.88783469   77.46603409
  -18.67214066   17.21867386  -53.95001273   53.97358036    9.11229467
  -53.60961784   76.33939287   75.06053777   42.88809784    6.34066728
   33.87829379   47.76843835   68.35845805   23.74945948   70.37294501
  -29.07467151 -130.14729533   88.60504088  143.92062768   35.13072202
   45.10564884  -15.39153026 -107.70545521   74.76525571  -47.55393037]",1484051.087444452,159352
4,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  52.4951625   -27.24546611  -60.39479399   50.89560566   37.97591242
  -54.03688141   47.98984326  -66.71819482   78.30728461 -128.55581495
  -55.57453061   74.88399185   73.85694787   69.46091797  -25.9660079
    5.31664515  -75.29627195   67.22021319   64.51610594   75.00436398
   68.51139834 -123.59517561   84.9546227   100.5999643    30.95662297
   42.62735765   27.24371403  -52.66707819  157.42348971  -83.83452185]",2931447.99307408,149706
5,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  29.56649769  143.72318451  -63.08923716   61.72241885  -61.61502385
 -104.78360059  -95.79865093  -48.32486092   79.48307951    5.94913062
  -54.24996439   75.71920817   69.00395134  -25.21932288   67.11546537
  -12.86889613  -69.25535024   61.7088497    69.07064302   72.02740056
   12.11431696    2.67232939   35.21814454   50.26370401   12.9507261
   32.81265582   37.55700847  -39.32186172    3.17197615  -85.86329359]",884348.4625162241,156770
6,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.36970668 -36.97587861 -57.15441228  51.32956196   2.42894182
  25.65220492  14.3187763    8.49918865  72.60291569 214.6999797
 -54.69973034  75.30801836  71.31891356 -39.28325883  38.32060159
 -58.20901855 -10.26343632  63.95012659 114.72267519  73.48735803
 -84.49703456 -74.43831413   3.23053159 165.9915187   20.94932475
  37.65127392 -29.34486288 -17.15835279  65.95104923 -47.67992464]",2246217.617759072,150264
7,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  48.92581285   30.18761327  -60.60078366  103.11836927   44.12960448
    4.18627478   17.33491419  -42.86898276   50.9109264    85.55084702
  -54.57712832   75.16075009   67.07170704    3.33776843   85.8788684
   32.10498408   70.97661808   55.13090332   38.36995163   74.02434729
   49.69102848  -87.33554314   60.28977269   50.48231304   -2.24588348
   30.23689487   82.29137756 -111.37383223   34.90641999  -47.3278061 ]",1849829.6065154287,165694
8,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  55.53539058   40.47485799  -58.1441374    11.62962328   21.05467066
  -98.80624233   82.0277691    29.94289806   74.99207046  -27.11315888
  -54.25075257   75.75079879   70.65550926   31.31725528 -117.10940566
  -84.52464391  -12.40515753   64.12420863   58.97185138   71.88029359
   98.15442142  -97.11050678   69.70898551  135.15656088   20.05839083
   35.94280969   -8.85741945    4.80635744   83.29589285  -67.85828585]",1393308.9097712587,150172
9,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  42.16253339  120.150503    -67.38858806   74.4759397   -70.40708929
  -82.13589353 -131.71095531  121.81226553   75.79366777  -42.77962816
  -54.62166642   74.86169844   70.8993989   -15.36759158  119.68095052
 -172.12490125   32.85406396   63.76324832   79.6524688    74.92482438
  -34.75709973    6.65020445   34.46805146   46.44101229   19.82661238
   36.75531557   38.24260151   65.61252823   34.48165708  -98.89098437]",2769843.470855533,161722
10,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 5.12203774e+01  1.69327672e+02 -5.77204752e+01  1.10424061e+02
 -1.45977154e-01 -1.80485291e+01  4.78591864e+01 -3.74552751e+01
  6.97560826e+01  7.66500063e+01 -5.42405128e+01  7.56420375e+01
  7.40208400e+01 -2.42989163e+01  6.05194242e+01 -5.79179318e+00
 -1.70985759e+01  6.76376179e+01  1.01680183e+01  7.24326981e+01
  1.28221597e+02 -2.50392306e+01  6.12846953e+01  1.73655945e+01
  3.19706158e+01  4.28638903e+01  1.17479046e+02 -5.79124206e+01
 -5.92215673e+01 -5.23782900e+01]",1772356.205658991,150561
11,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  48.77985122  134.99754932  -59.72252146    8.21613154   11.8198325
  -90.66765871  -92.08096125    7.68416856   72.4509537   -23.37746266
  -57.05191687   74.16647729   69.87051872   12.19027287   10.51969934
  -52.08009438   -3.12365312   63.20857123   12.57611824   76.79255646
 -105.27718003  -51.44154173   79.77237091  160.68721735   17.37644542
   34.72767451  -69.39758978  -23.91822669   -2.03424414  -65.2892748 ]",1204969.9469506808,159127
12,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  52.56524173   70.70535216  -58.79456869   93.00753889  115.76218548
   -1.31092105 -101.58749388  -43.52738761   55.31779977  -25.61426531
  -54.56402242   75.4024723    71.03685398   63.22466575  158.81617761
   27.46966834   49.37047361   63.40931528  -34.54882062   73.23206467
  -87.31711319 -148.45772399  127.47103583   73.60556554   19.5446108
   37.20228737   33.15324012 -100.79197396   27.86387899  -33.06506515]",3712060.7319341153,145995
13,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  46.54656606  112.58246055  -61.13081105   29.72228329  -10.14878685
   -1.8641713    -1.78470802   62.14791144   62.21272963  -11.15129109
  -54.56707643   75.1984055    74.15922543    6.81204358   12.63043395
  -89.44323357   69.07888811   67.65388369   49.17447191   74.04389268
 -100.5237262   -53.52251676   61.8037511   184.70252841   32.37773734
   43.30757681  -56.92072148  -11.05509333   27.39335044  -70.85561839]",1189796.9525908337,140663
