execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 41.45562409 -93.04745101  41.13807834 -59.55288643 -41.032604
  39.44300988 -37.68474169   4.6961372   78.22947775 -12.41377456
  19.74208476 -45.42396641  65.33163973  37.70695473  51.39389568
 -76.40512483 -24.06837164 -22.29024026  62.9100342   -1.56858411
  85.23409072 -57.02274077 -61.9376386  -92.45167331  16.7709896
 -41.05201746 -56.17567629   6.48486149 -26.30518279  -2.61095965]",961.0209386344424,229150
1,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 52.06191227 -41.40852608  36.30251468 -93.3299455  -73.54851996
  32.64096514 -24.29898232  39.67357618  43.44971871 114.31396816
  44.09035335 -39.44949255  62.94345773  91.70419218  81.86697251
  -5.70488881   4.75183882 -13.48742992  63.10210369  -9.82999287
  42.26414633 -33.97514663 -81.43827119 -74.70524274 -21.25437337
 -20.57791021 -39.15352608  -7.94555575 -77.6156385   47.8393719 ]",985.733225018023,227429
2,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 54.04947664 -93.80598492  48.5575417  -76.45614594  -3.53505478
  -3.84070402  17.52658674  18.65761716  12.27325493  -9.97515165
  49.22686968 -38.7148396   55.00115878  71.16514889  35.68029822
 -55.01907018 -40.70350811 -32.49289671   8.29385283  49.87262121
  70.83387948 -22.83385612 -55.52162441 -49.00319322  14.82706601
 -63.48262293  23.91030752 -54.42077783 -47.33103811  41.18327789]",976.1446150365016,198714
3,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.26688591 -76.30741124  -0.60998653 -39.28281846 -21.67709374
  15.07501773 -19.93190371  43.27270763  60.87276951  17.07436727
  46.20070152 -61.81930852  37.41220187  53.49229214  -1.22497637
 -48.57911434   2.26048328   7.82964529   7.53219883 -42.23741591
  21.22746055  -8.86808253 -36.64580133 -57.56271754  51.27693428
 -65.19117008 -41.57300751   3.24789907 -33.16260712   1.42514729]",966.6620700027606,192821
4,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  37.58812225 -102.31874792   22.13356652  -80.52347928  -27.88536996
   26.10985717   -4.9409666    25.07478645   42.26123662    6.13887413
   27.75019842  -90.06434269   60.32840404   56.45093547   64.51919569
  -23.18884411    0.2547      -24.76522321  -12.40613045  -24.83728976
   97.21044679   -5.02036089  -47.16127919  -66.43280624   31.95937514
  -21.95853793   -3.22144372   18.25312118  -58.88051836   -2.31052694]",960.692403245934,200250
5,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 69.83848497 -67.43736108  56.90958125 -57.36347121 -56.17733745
 -29.89791158 -64.08916164  -6.26183956  27.80996911 -17.10324751
  45.6418563  -27.8260771   52.63265995  90.54918409  57.16177205
 -50.48655549 -51.4739539  -41.60547107  22.9119605   -2.47044024
  19.69845919 -27.98058251 -56.45535631 -83.57404191 -10.27262747
 -20.88251485 -21.46330296 -23.99039682 -54.63575897  51.40494265]",967.6570898044752,200844
6,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 62.53444078 -50.29609502  51.61597034 -45.15692507 -47.58365917
  70.57358989 -64.78683256   5.71589471  82.95445388  14.76851463
  43.44680493 -53.88886777   3.46541463  55.393272    69.55622821
 -85.00672814 -27.20275544  18.18214306  28.15694551 -17.12177318
  62.20269187 -24.67102996 -48.56154062 -48.69266904 109.43501046
 -62.9669583  -66.05618496  -2.08386122  -3.79681862  60.0945478 ]",976.6117062009351,202412
7,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 23.2898794  -67.7367786   12.70744981 -52.7956266  -59.78492047
  21.61266917 -41.42807474  23.24250391  34.4755234   42.31635236
  35.73148925 -57.96911361  68.01819297  63.58152732  57.19428343
 -76.34915442 -30.58704277  -9.75535319   8.967895    26.26154367
  65.18368929  34.53980142 -68.71370254 -40.1220372   33.75122262
 -61.89239037 -26.11499282  -3.18696282 -63.50775064  -8.12622909]",940.7932709171964,199298
8,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 44.71500173 -23.98544635  67.86414871 -52.30321816 -59.43732488
   8.47877221 -12.27177929  51.32509707  32.12552181 -23.39170482
  27.65222208 -49.66283132 -10.41964221  88.07782348  72.27032417
 -65.69778274   9.40838023 -23.35042977  48.72529304 -12.78361744
  -0.40216047 -55.58572477 -52.34495432 -83.2745727   26.8000022
  16.87488424 -17.26440794 -13.89614781 -51.99634306  -6.34057656]",982.5813694981048,228538
9,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 21.46578835 -32.85560274  22.09326643 -78.66112439 -38.83946099
  59.65126795 -46.09078043  38.65103573  38.68631197  65.18271262
  43.31836543 -73.27041066  69.20695941  82.31611714  48.65869354
 -61.94187879 -28.24950008 -43.52228458   8.67580022  10.42201239
  61.57495251 -66.23853997 -40.77452668 -57.26339753  36.50038288
 -36.83126867   1.74985445  13.58097428   6.27774624  33.83615856]",952.7327453623384,213415
