execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1_basic,10,10,100000,"[-100, 100]",0.67045,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 8.98412608e-05 -3.35452145e-05  9.96686849e-07 -7.13569584e-06
  9.14841372e-06  9.65366984e-07 -6.47022519e-07 -2.71771143e-07
 -1.37908871e-07  1.60640921e-07]",0.0,26102
1,f1_basic,10,10,100000,"[-100, 100]",0.6388,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 1.36457362e-04  6.03084330e-05 -2.45447096e-05 -4.68170556e-06
  3.75704686e-06 -2.01015362e-06  2.29821001e-07 -5.55692005e-07
  1.42233497e-07  9.84942968e-08]",0.0,31911
2,f1_basic,10,10,100000,"[-100, 100]",0.66415,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 8.86605508e-06  8.88791099e-05  3.75508581e-05  4.18437758e-06
 -2.23791983e-06 -1.57877505e-06  7.42551409e-09 -1.75350057e-07
  5.03483542e-08  1.28073876e-07]",0.0,26792
3,f1_basic,10,10,100000,"[-100, 100]",0.6546000000000001,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-3.83591975e-05 -3.16216465e-05 -2.75453914e-05 -8.44736829e-06
 -8.00050964e-06 -2.74118282e-07  1.31733106e-07  6.86216203e-07
 -1.34142858e-07  1.02381676e-07]",0.0,30035
4,f1_basic,10,10,100000,"[-100, 100]",0.68285,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 1.48938415e-04  2.03931362e-05 -1.96463888e-05 -1.94099765e-05
 -4.46346554e-07 -2.61491750e-06  2.42719094e-07  1.25935494e-07
  1.28593199e-07 -9.25335877e-08]",0.0,23797
5,f1_basic,10,10,100000,"[-100, 100]",0.6351,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-9.57358740e-05  2.01982041e-05 -3.04645415e-06  1.03373746e-05
  4.46627312e-06 -9.96772241e-09  6.74647812e-07  5.57498875e-07
  1.56715926e-07 -1.77750373e-07]",0.0,32190
6,f1_basic,10,10,100000,"[-100, 100]",0.6602,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-1.00299286e-05  1.01989723e-05 -1.02455537e-05  2.57122408e-05
  4.16381319e-06 -7.40055634e-07  4.10541659e-07  1.09021596e-07
  4.42638252e-08  2.08341891e-08]",0.0,27451
7,f1_basic,10,10,100000,"[-100, 100]",0.64915,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-4.81539873e-06 -8.60890466e-05  4.04658744e-05  4.12681595e-07
  3.83714764e-06 -2.51157507e-06  4.72578751e-07 -5.62390100e-08
  1.44398394e-07  3.79055712e-08]",0.0,29543
8,f1_basic,10,10,100000,"[-100, 100]",0.662,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-6.33220899e-06  2.30174659e-06  1.92262477e-06  1.12459507e-05
  3.03187567e-06 -3.17076302e-06 -9.66220138e-08  3.01450289e-07
 -6.86042257e-08  2.17063791e-07]",0.0,28065
9,f1_basic,10,10,100000,"[-100, 100]",0.67915,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-5.07391967e-05  3.63879950e-05 -2.76661240e-05  6.24566686e-06
  2.40617842e-06  2.87122705e-06 -6.32404079e-07  1.79137473e-08
 -2.64854575e-07  1.39311085e-07]",0.0,25168
10,f1_basic,10,10,100000,"[-100, 100]",0.69465,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 2.71628310e-05  3.14509536e-05  3.19750464e-07 -6.43067440e-06
  7.01613850e-08 -4.39303588e-06  7.72194041e-07 -1.02053134e-07
 -2.59862441e-07 -1.43671082e-07]",0.0,21996
11,f1_basic,10,10,100000,"[-100, 100]",0.6871,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-9.76032922e-05  2.12758307e-05  1.62137043e-05  5.47713620e-06
 -3.50201962e-06 -3.38183154e-06  2.42595889e-07 -7.30039972e-07
 -1.41786571e-07 -1.23315609e-08]",0.0,23945
12,f1_basic,10,10,100000,"[-100, 100]",0.65285,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-8.19969727e-05 -9.15183979e-06  7.62855681e-06 -1.53504748e-05
  4.38665048e-06 -2.65907554e-06 -1.02031743e-06  1.10534594e-07
 -9.97994217e-08 -9.15012574e-08]",0.0,29219
13,f1_basic,10,10,100000,"[-100, 100]",0.6217,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-1.79049354e-04  2.67716301e-05  2.09047582e-05 -8.26276840e-06
 -2.18125567e-06  1.24982965e-06  4.23648456e-08  7.11018184e-08
  2.00513648e-07 -1.83387616e-07]",0.0,33299
