execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -5.65388496  33.27103043  84.7450937   48.8761456   -7.85205486
  20.35476661   4.78923409  90.70011564  65.89643846  44.75058912
   3.92299225  -1.99060427 -24.32620237  53.95229228  54.5285685
  54.29250329  -0.7259887    2.15180717 -54.4579766   71.8104812
  -8.42815735 -42.05094923  37.35663669  35.56590352  41.86217507
 -37.87222532  70.46343045  31.55843037 -52.05906494 -21.10018967]",1400.183121077028,131279
1,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-33.42250997  42.17804297  76.62422482  65.23582272 -21.94624919
  28.95627222  -1.23659041  76.01259488  66.86976352  55.26038456
  -9.4859306    9.78914314 -43.52913566  44.45976283  54.70263575
  56.90713811  -7.038057    16.49247402 -62.92618983  58.90944958
  -1.22528371 -39.13761521  65.41113739  46.89151286  49.41412734
 -35.07530382  35.90127195  25.66927104 -45.41992563  -6.92445378]",1400.2997350614928,121225
2,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-14.30288961  40.72455558  88.74599952  50.66713925  -8.86696485
  21.83445756  -7.74413514  63.05062349  78.67363399  59.71795282
  -8.90217654   1.25856349 -26.95983819  40.88444623  46.08374422
  66.66892903   5.96350172  16.95603143 -70.47049598  59.6955299
  -5.3275942  -42.48226217  55.99009648  42.8560146   71.73264361
 -30.56599904  36.72283927  38.23724054 -55.78893642 -23.6259764 ]",1400.354635623356,122790
3,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-24.91469232  23.64642265  63.68975578  39.83926887   1.41550878
  43.60099246 -27.49045601  69.64364868  79.33407636  76.3629442
 -26.42730945 -24.68905356 -49.72101379  60.67951762  64.43150616
  69.62871529  11.13621216  17.13528453 -59.42955483  60.76643143
  -6.47129757 -42.75053958  54.9584765   43.00154813  76.82498408
 -26.2915874   34.0218163   17.98793011 -61.66172318  -4.1954555 ]",1400.8707682466063,119431
4,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-2.36052554e+01  4.63650387e+01  8.15619830e+01  3.33894853e+01
 -1.39449806e+01  4.40896831e+01 -8.31903217e+00  8.07783874e+01
  8.03443018e+01  3.42992504e+01 -3.24310230e+00  9.44846098e+00
 -2.43284078e+01  3.04299026e+01  6.45191057e+01  5.83388308e+01
  2.51511766e-02  2.31655200e+01 -6.28086499e+01  6.72881470e+01
  1.29718783e+01 -4.01954622e+01  4.09911198e+01  4.31451490e+01
  5.13705077e+01 -3.58766945e+01  5.27467376e+01  3.82317848e+01
 -6.24084787e+01 -1.91173105e+01]",1400.2609744900544,122866
5,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-16.03983276  38.53856478  83.35097359  56.06233286 -19.63180132
   4.65826913  -6.0922368   85.83641369  77.19522221  55.74966599
  -8.56872023   9.97858451 -23.75624837  51.00349322  55.30232752
  56.25421913   6.73705555  25.65687338 -31.93948081  55.53887407
   3.6915781  -33.52886896  61.34612066  41.01892027  42.33745728
 -27.86217449  40.25619155  36.9784394  -44.4750083  -38.80690144]",1400.2090107735664,120897
6,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-35.38270112  42.22687283  77.12965173  47.61561282 -13.76040646
  12.98746614 -14.73967913  87.07283353  72.22240846  38.28359707
  -7.39142974  11.46927837 -35.03547045  55.25303595  65.8032384
  56.78207554  -2.72267258  -1.46777398 -59.61005963  61.10568215
  -2.23515116  -8.33011048  42.7579518   47.70753124  44.3526445
 -41.38603584  38.25722873  36.45041166 -61.57491675 -15.68127405]",1400.2062812555068,129749
7,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -4.68401452  39.22742261  95.36087732  60.44641944 -16.14741818
  28.27355     -0.12833032  80.36671149  62.32257463  40.86466039
  -5.36084847   6.54258575 -20.81403222  37.12083437  50.4535132
  44.63616706   3.86133546   5.88905672 -60.22022829  71.36400965
   4.40128862 -35.27177744  54.30294761  36.21341691  54.91826171
 -49.67458255  22.63583163  22.23964602 -56.86139409 -13.8714321 ]",1400.23551961035,123089
8,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -8.77849164  26.08039293  73.46047306  62.58175541 -18.790727
  45.17619098 -28.65672949  72.35761375  88.64530403  49.20044304
 -12.04937484   9.13874931 -40.6833185   54.04414227  60.75114862
  60.43559106  -9.31149627  13.68424171 -60.17048379  74.39319536
  -5.58712093 -32.65157686  60.60095172  43.65582965  43.50233379
 -30.88953754  22.87094161  28.71009804 -51.6513662  -15.62514   ]",1400.3238806986103,119460
9,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-15.85250376  33.94082126  87.38362562  43.03205266 -10.75123238
  13.81015825 -15.52874875  77.56325458  92.26345508  45.59607814
   3.04503527   2.16281379 -15.31781571  48.19532215  53.86035365
  63.91758353   8.53991531  16.43167611 -56.22988579  83.59203991
   3.6592252  -20.67641136  54.61928246  46.59484385  55.84099264
 -43.43074895  28.7654666   26.33925578 -49.74060566 -12.35734521]",1400.2493898074304,122955
