execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  34.64810331   65.31697886  -23.63865905   67.18531595   24.40837122
 -140.95132002  -31.50389754   48.7854895    97.40192472    2.36836518]",178230.74927021682,33829
1,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 45.62542497  64.97814254 -57.04558457  66.26910279  21.58212029
 -87.58991683 -34.95577712  10.52048892  74.97057403  52.60286199]",2028.4318936989791,35946
2,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 58.85585639  62.77806253 -55.89568795  61.0921217    5.43413012
 -22.15098194 -54.09708792  11.83717218  75.74229948 113.88620804]",8395.54566084412,46618
3,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 70.27211698  64.85455034 -54.75413617  65.92024395  20.54930637
  33.17305766 -36.2015827   13.15285243  76.50938    166.01661348]",21536.10060710116,44193
4,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 67.17747199  63.89288085 -46.88385308  63.16654396  12.71724232
  17.96359117 -45.59320427  22.15881188  81.79901054 151.74343949]",35046.179299956064,31774
5,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  25.05592074   66.01439848  -90.59141475   69.30487856   31.0880572
 -187.78433942  -23.28773747  -27.93193462   52.44055944  -41.66042971]",153356.7809805364,42339
6,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 61.64632423  64.27596467 -56.55032775  64.44346526  16.00401136
  -9.28965457 -41.64453187  11.08904679  75.30316893 126.19391128]",7537.122734501653,40091
7,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 43.15114751  66.57564585 -68.29731925  68.40088802  29.6329182
 -99.59330924 -26.05161514  -2.36550517  67.41467654  41.29622065]",13182.769216991344,30114
8,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 51.57837151  64.98767383 -59.05751496  66.31996791  21.69114996
 -58.21754096 -34.8159564    8.21818131  73.62096973  80.1296823 ]",231.30384322553948,32358
9,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 53.72286375  62.19287966 -93.98849129  58.21424058  -2.1560209
 -48.13001591 -63.70980368 -31.75030299  50.18407948  89.72526242]",158210.9259446865,34131
10,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 69.91807166  64.23187471 -45.70957344  64.28908312  15.56268706
  31.62033227 -42.21424763  23.53032035  82.58404734 164.5062505 ]",43275.40528283358,37050
11,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  28.28354893   63.42763869  -79.79233414   62.31300072    9.64765294
 -172.0175001   -49.18141968  -15.57790069   59.69748254  -26.84106577]",76019.16297236955,26643
12,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 46.57544725  64.23107161 -51.77032634  64.49633894  15.8185614
 -83.37928105 -41.88257029  16.57534449  78.51290969  56.68514253]",9203.212930229767,30590
13,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 45.60840393  64.28577674 -52.79703167  64.48813613  15.85072523
 -87.53264713 -41.90057194  15.38310282  77.82431695  52.61771828]",7559.269088988843,38441
14,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 45.64646378  64.20047043 -55.38074695  64.02140955  14.94597019
 -87.39715158 -42.98972412  12.44319206  76.08943632  52.75522251]",3972.725498608386,34160
15,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 45.592097    65.33290331 -19.5196622   67.10881626  24.16926457
 -87.18045796 -31.90025464  53.50130321 100.17963446  52.8259144 ]",208331.48116910184,41813
16,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 62.79546255  65.28232158 -55.87099551  67.03489407  24.04431358
  -3.56574849 -31.99288692  11.87109249  75.75910287 131.54305169]",9189.134071532795,32375
17,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  36.98176546   65.85537595  -49.14985003   68.74046352   28.98611964
 -129.93436727  -26.00807053   19.58322063   80.27398818   12.83397569]",23340.586295249224,34041
18,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  26.0377445    65.41392044  -66.76655696   67.52470384   25.35774379
 -183.39852262  -30.36677678   -0.61946563   68.44255518  -37.4245834 ]",34019.1703968942,30050
19,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 67.16854254  63.85376084 -28.70137359  63.229895    12.66018898
  18.19812829 -45.57227623  43.03225484  93.99542384 151.88729025]",137286.58049979823,41049
20,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 66.29196982  64.42362743 -70.15053753  64.59601032  16.67284517
  13.30041051 -40.92847665  -4.50339948  66.17322364 147.45759479]",26073.74320985908,32461
21,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 45.76388396  64.69692715 -65.85526587  65.63078696  19.24419437
 -86.33848931 -37.80345067   0.42490119  69.0544392   53.61739868]",6024.499860216575,52156
22,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 48.18420265  64.83786953 -61.69892448  65.7753968   20.43598612
 -74.99697307 -36.31313943   5.19140975  71.84704973  64.41345189]",846.8039196318108,30240
23,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.54734505  63.50396859 -81.22519588  62.4320358    9.88401525
 -29.09671492 -48.97939828 -17.23654062  58.73865824 107.51285743]",63678.66679832295,48684
24,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 43.178531    64.23463832 -57.77781609  64.67026922  16.38612107
 -99.50709058 -41.08857178   9.67542151  74.47973429  41.38988457]",3222.6151915910373,44761
25,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 63.31065787  65.3822685  -60.72893606  67.20113924  24.60782318
  -1.35531494 -31.36166507   6.30054383  72.49795622 133.70686047]",8079.909268041003,34010
26,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  40.29264872   66.1308896   -82.1198298    69.40656872   31.57062569
 -113.67072994  -22.77772565  -18.19431341   58.13823192   28.09413478]",70665.97952099926,47178
27,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.0909884   61.54924657 -42.84030033  57.4767724   -5.71837792
 -41.33674451 -67.83904504  26.79418422  84.51530894  96.07497871]",46229.7993582447,36752
28,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 48.60867373  65.09869554 -75.76665269  66.7195288   22.71658504
 -73.05004338 -33.5920095  -10.88054784  62.3971413   66.27283263]",33538.75556476516,31225
29,f1,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.07081433  65.15344921 -62.87450654  67.42858302  23.43141442
 -36.32284335 -32.74015546   3.84872636  71.05789113 100.72585185]",3014.6986503773715,38227
