execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.86496259  47.08547052 -30.20558483  17.66826107 -53.49617545
  16.31713168 -41.67943959  24.65272841  30.27436762  39.70418562]",385.8531032118241,21256
1,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.11081492  47.085497   -30.20560784   0.33933068 -53.4963178
  16.31712584 -36.7135846   24.65264127  30.27431068  39.7042223 ]",219.38988162800896,16790
2,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.59007258  47.08525099 -30.19647902 -34.10351141 -53.49446557
  16.32236715 -26.84112678  24.65048025  30.27460194  39.70477589]",2031.373558227189,16764
3,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.51110467  47.08554226 -30.20565617 -27.85585162 -53.49634171
  16.31705236 -28.63381135  24.65281599  30.27406411  39.70420247]",1338.3350950948527,19867
4,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-55.18361963  47.08411614 -30.20635022 -75.2226012  -53.4960137
  16.31770738 -15.06028405  24.65165491  30.2722037   39.70166637]",7109.878640864553,17109
5,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.08269078  47.08553502 -30.20562177   2.31948548 -53.4962038
  16.31711704 -37.28103018  24.65265754  30.27431381  39.70423723]",205.4606345308441,14518
6,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.21015093  47.08964156 -30.20550917  -6.48024297 -53.49697366
  16.31708485 -34.75941221  24.65241779  30.27428708  39.70460481]",357.25940763335467,21731
7,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.83694813  47.0854843  -30.20566577  19.61325205 -53.49609868
  16.31710712 -42.2367358   24.65276952  30.27431124  39.70417552]",445.4443639510218,16488
8,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.00388955  47.08549353 -30.20558889   7.87426699 -53.49618613
  16.31710691 -38.87282012  24.65265397  30.27431412  39.70425053]",211.85316250241428,25924
9,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.89294681  47.0851015  -30.20617953 -54.36110828 -53.49627137
  16.31572874 -21.03851594  24.65220063  30.27490939  39.70465138]",4006.546787771658,16776
