execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-45.27262626  47.08541667 -30.20546911   4.56534406 -53.4961001
  16.31688979 -37.92484809  24.65300926  30.27454514  39.70349077
  -7.91431878 -66.58701349 -43.36349535  66.13364647 -55.619723
  52.13080318   6.1351692   79.38210695 -67.49108652  -9.16977912
 -62.93195524  73.904671   -46.74221789  43.98642693  50.76821301
  58.99217224 -66.48981674 -16.03537018 -38.42371999  48.00756621]",1392.319315919537,90992
1,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.01783518  47.08551697 -30.20552252   4.56523055 -53.49619427
  16.31709292 -37.9245772   24.65263429  30.27429625  39.70405963
  -7.91328998 -66.58868023 -43.3637801   66.13404355 -55.61950524
  52.13070698   6.134806    79.38152948 -67.49195434  -9.1714779
 -62.9356427   73.90369282 -75.4320204   43.98565197  50.76856347
  58.99122264 -66.49019537 -16.03471562 -38.42073819  48.01101293]",215.86991954678533,99760
2,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.73372045  47.08552941 -30.20558771   4.56529946 -53.49621431
  16.31712388 -37.92458705  24.65266227  30.27432079  39.70425336
  -7.91334581 -66.58858571 -43.36369791  66.13400587 -55.61952012
  52.13071098   6.13478774  79.38155315 -67.49192297  -9.17149003
 -62.93556186  73.90370122 -81.78818446  43.98568575  50.76851413
  58.99115434 -66.49026398 -16.03476975 -38.42073256  48.0109494 ]",206.86918483807457,88806
3,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.07559316  47.08552382 -30.20559752   4.56529981 -53.49620387
  16.31711187 -37.92459698  24.65265547  30.27431478  39.70425701
  -7.91334303 -66.58858879 -43.36368486  66.13397626 -55.6195185
  52.13071325   6.13478623  79.3815596  -67.49191617  -9.17147518
 -62.93554903  73.90368672 -79.35025177  43.98567322  50.7685105
  58.99115172 -66.49024914 -16.03477602 -38.42073812  48.01095471]",200.00994968779284,88191
4,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-56.47019125  47.08518034 -30.20588586   4.56547522 -53.49622153
  16.31808709 -37.92450873  24.65253459  30.2737187   39.70408865
  -7.91284799 -66.58851826 -43.36406713  66.13479735 -55.61995802
  52.13083536   6.1352136   79.3819608  -67.49152408  -9.17125406
 -62.93544404  73.90349579 -88.22072549  43.98551131  50.7691902
  58.99108633 -66.49020118 -16.0344449  -38.42049134  48.01095585]",291.374475129852,92528
5,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-51.90071901  47.08557967 -30.20594991   4.56569789 -53.49615563
  16.31714765 -37.92438622  24.65270306  30.27425578  39.70475712
  -7.91332036 -66.58854674 -43.36383617  66.13417965 -55.61963411
  52.1310017    6.13467841  79.38149978 -67.49168504  -9.17155107
 -62.93546277  73.90364059 -71.29419755  43.98564025  50.7686002
  58.99116036 -66.49182982 -16.03445127 -38.42083285  48.01086884]",271.85816493166215,93130
6,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.4291558   47.08476842 -30.2075931    4.56518688 -53.50210866
  16.31718227 -37.92291474  24.65357809  30.27438271  39.71543449
  -7.91411999 -66.58825536 -43.36623505  66.13424075 -55.61903395
  52.13035472   6.1344176   79.38037569 -67.493349    -9.17312079
 -62.93516114  73.90025634 -76.95521042  43.98732077  50.76806447
  58.9902823  -66.48844662 -16.03279888 -38.41915814  48.00833109]",437.7566245124071,96220
7,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-52.57223126  47.08563362 -30.20549441   4.56525047 -53.49609213
  16.31717881 -37.92463776  24.6527508   30.27444425  39.70414129
  -7.91332618 -66.58831223 -43.36364789  66.1343277  -55.61960287
  52.13085469   6.13495988  79.38117669 -67.49196045  -9.17182307
 -62.93505868  73.90409696 -73.78111611  43.98573536  50.76848377
  58.9909246  -66.49012203 -16.03542407 -38.42071559  48.0107716 ]",234.05319568497805,87462
8,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.50607447  47.08778073 -30.20568015   4.56528063 -53.49614743
  16.31707325 -37.92461504  24.65165024  30.27432467  39.70415887
  -7.91359787 -66.58836694 -43.36383743  66.13399841 -55.61956612
  52.13053849   6.13386453  79.38200909 -67.49227082  -9.17164426
 -62.93695716  73.90366474 -77.24061022  43.98559689  50.7684475
  58.99105324 -66.49016529 -16.03468635 -38.42069092  48.0108343 ]",219.38421239661983,101441
9,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.05420224  47.08542754 -30.20540389   4.56499038 -53.4962073
  16.31707356 -37.92462216  24.65208867  30.27442679  39.70423004
  -7.91325642 -66.58853182 -43.36359136  66.13383965 -55.62056549
  52.13070836   6.13476021  79.38208046 -67.49163075  -9.17159599
 -62.93610615  73.90388614 -79.27102541  43.98569773  50.76903704
  58.99187892 -66.49027704 -16.0349107  -38.42081805  48.01076395]",204.8303079489152,90021
