execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.26012637  47.08636033 -30.20612325 -80.83851343 -53.49638835
  16.31733967 -13.45104717  24.65356053  30.27374578  39.70398952]",8098.760422368995,12458
1,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.23584132  47.08525355 -30.20550092 132.54957707 -53.49614694
  16.31704789 -74.60052122  24.65276324  30.27456442  39.70427996]",17929.081442633833,14315
2,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.83425842  47.08551579 -30.20543565 -50.58866867 -53.49652142
  16.31742345 -22.11945252  24.65269077  30.27431702  39.70544473]",3496.594642754094,13191
3,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.85842039  47.08553821 -30.20559556  18.1227029  -53.4962118
  16.31720692 -41.80959354  24.6526026   30.27433094  39.70428516]",398.9921683379563,13004
4,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.18462879  47.08490893 -30.20554734 -75.38973555 -53.49627392
  16.31727704 -15.01258639  24.65285996  30.274772    39.70407604]",7119.844880982828,14187
5,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.38052836  47.08545563 -30.20562362  51.68428493 -53.49605206
  16.3173998  -51.42644966  24.65247676  30.27413445  39.70434347]",2608.88688401652,13467
6,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.43959166  47.08555111 -30.20563889  47.65833597 -53.49624183
  16.31705358 -50.2735021   24.65260019  30.27419623  39.70422533]",2210.02363333797,12403
7,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -55.76146285   47.08634105  -30.20557565 -116.12385139  -53.49631931
   16.31723564   -3.34032463   24.65261916   30.27376652   39.704361  ]",15966.520872601004,12149
8,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.66097842  47.08582622 -30.20514669 -38.27927828 -53.49628842
  16.3172735  -25.64682909  24.65288423  30.27441078  39.70450108]",2194.770518309303,14279
9,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.93310687  47.08551471 -30.20563527  12.86349729 -53.49619118
  16.31709424 -40.30256869  24.65263732  30.27432207  39.70424534]",274.5388135072303,13234
10,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.67757128  47.08548802 -30.20563403  30.810066   -53.49619609
  16.31718641 -45.44551249  24.65265195  30.27441258  39.70383385]",947.1278763390924,12765
11,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.1854729   47.08535841 -30.20594875 -75.547339   -53.49615642
  16.31720054 -14.96585871  24.65279353  30.2754458   39.70464878]",7151.656268573576,15247
12,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.96719824  47.08561303 -30.20556809  80.99297797 -53.49626975
  16.31713011 -59.82587209  24.65272219  30.27436155  39.70432977]",6522.07470168682,12299
13,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.27080733  47.0841534  -30.20523139  59.65470494 -53.49620397
  16.31687269 -53.71111517  24.6527761   30.27416503  39.70371667]",3488.313468464926,12945
14,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.70337975  47.08584756 -30.20562767 -41.44998219 -53.49625352
  16.31720359 -24.7383928   24.65262527  30.27440103  39.70422543]",2491.8785554122232,13394
15,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.41919495  47.08552153 -30.20559482 -21.41768213 -53.49623585
  16.31714786 -30.4787666   24.65264818  30.27445673  39.70426385]",930.7193557643672,14933
16,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.39227863  47.08554144 -30.20575149 -89.99017502 -53.49612958
  16.31705909 -10.82807211  24.6538244   30.2748127   39.70378859]",9879.881604970034,13027
17,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.24655319  47.08585502 -30.20570326  61.29319498 -53.49617608
  16.31716175 -54.18089624  24.65274125  30.274277    39.70435321]",3683.174300422205,14678
18,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.28150604  47.08513094 -30.2057955   58.8639656  -53.49514175
  16.31777194 -53.4842746   24.6525606   30.27323631  39.70352263]",3395.767361409101,13963
19,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -56.41243251   47.0851779   -30.2053429  -161.89442763  -53.49603337
   16.31722348    9.77505257   24.65282931   30.27466124   39.7039018 ]",30195.25493407765,13994
20,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.77840715  47.08555377 -30.20559895  23.77728124 -53.49619911
  16.31711052 -43.43007365  24.65265572  30.27436471  39.70424346]",599.4946484510999,13084
21,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.46096385  47.08554693 -30.20581028  46.06148004 -53.49614396
  16.31673019 -49.81597871  24.65269495  30.27456551  39.70434415]",2066.52522219455,13995
22,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.8396116   47.085291   -30.20558484  89.9482788  -53.49612448
  16.31736788 -62.39232468  24.65255156  30.27351829  39.70465934]",8092.099980822453,13023
23,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.93365512  47.08549985 -30.20559491  12.8279897  -53.49622846
  16.31715694 -40.2923559   24.65267952  30.2743506   39.70429874]",273.9015452238427,13168
24,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.53253198  47.08508513 -30.20554305 -99.49503958 -53.49641597
  16.31648831  -8.10534171  24.65301329  30.27492471  39.7045711 ]",11963.10912454827,12963
25,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.0696722   47.0854791  -30.20565997 -67.04052311 -53.49622435
  16.31720911 -17.40488283  24.65272198  30.27442686  39.70432614]",5763.211259088505,14130
26,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-55.19753865  47.08540065 -30.20540332 -76.25455946 -53.49661975
  16.31623942 -14.76510094  24.65287551  30.27469163  39.70397405]",7272.094731783506,12779
27,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.64575302  47.08553379 -30.20551815  33.14079456 -53.4961569
  16.31706715 -46.11335908  24.65258944  30.27430159  39.70422174]",1083.8094576485994,12721
28,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -55.54080563   47.08717476  -30.20606817 -100.48129512  -53.49528522
   16.31700173   -7.82166429   24.6523184    30.27366228   39.70468005]",12151.287247864688,13315
29,f2,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.00019447  47.08539957 -30.205555   149.2079804  -53.49610575
  16.31718252 -79.37429578  24.65268662  30.27421266  39.70426959]",22844.11180042,12421
