execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -8.73284179  25.8486299   85.44147863  56.70316349  -9.05103472
  29.39115225   3.69678052  82.16508704  83.78362217  62.33838221
 -18.62812847 -11.64828405 -27.42352381  30.93549302  63.54337671
  59.64949154  -5.53226926  15.59150301 -55.2403138   74.89075767
  13.47638807 -53.67343631  65.86778948  40.15177798  48.82185573
 -36.43127432  40.45134658  31.11259608 -54.58257329 -20.91560034]",1400.350687918736,140878
1,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-17.14044729  24.02298009  90.27037043  54.79647305 -20.53188528
  21.56129456 -12.47533633  66.27842708  81.56655982  56.58497515
 -25.41589779   6.85465056 -27.13776115  63.9821373   67.57564455
  54.77986549   8.19198706   2.69413229 -46.38457144  60.2360872
   1.42100706 -40.99797029  40.24280617  42.53658004  43.25844333
 -40.34654582  30.33107224  29.14634228 -63.63321395 -16.82609178]",1400.2856089168033,141371
2,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -7.65413914  32.25362552  76.03429531  41.60785412 -21.02011691
  20.70575577  -5.27271799  80.35879122  81.97202684  51.79218376
  -4.05588163  11.29687491 -37.20994053  43.19500327  58.74144567
  75.89130993   2.5312956   19.05783511 -61.53641157  64.09929521
   7.23425216 -20.31718552  37.87634545  36.7134233   53.73664024
 -52.13388612  37.18216481  27.87543464 -67.94452785 -24.68000866]",1400.2835502409398,154163
3,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-11.49607949  26.17901922  81.28077911  71.30453644 -18.89597129
  37.46440016  -2.52528782  79.44089426  80.26865456  52.81180014
  -5.57652005  13.44824234 -33.81464548  59.99442101  39.06911695
  67.7751404    1.19806473  11.51251977 -57.71891098  77.84148749
  -0.40375978 -31.81268691  35.02452266  41.9086468   68.40125273
 -12.88641755  28.22860799  30.66386977 -46.01698677 -17.96402839]",1400.2774504310416,134406
4,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-10.21248458  31.34847475  76.41677119  59.303396    -6.63748259
  43.61149451 -10.680965    78.5373634   85.64558531  56.16530042
  -9.08910055  13.93995835 -21.39213191  41.17281348  43.27150876
  58.39610608   8.14748571  20.25419857 -51.5344948   68.67610856
   9.70498445 -38.03093699  62.83948987  42.11706678  63.40745398
 -36.53891447  38.10894929  46.40299313 -65.51177511 -26.06785295]",1400.3225215975704,148289
5,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-17.04400283  34.77402608  82.30793764  56.05682027  -3.08772805
  21.02012992 -10.00758682  74.33764112  88.4884283   52.81114435
  -0.65872919  17.06827772 -35.45004518  62.18854017  47.27987836
  53.53491117 -12.17430996  20.60520203 -44.3519086   79.48669686
   2.48335985 -30.8651491   51.93872572  37.96358747  42.214572
 -29.67038528  47.00301539  29.97933235 -46.2353136  -32.45450303]",1400.1607261098077,157636
6,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-17.25815099  39.89732318  73.50544565  58.74413099  -9.97261446
  37.52759147 -13.51635821  74.23976422  89.91241523  34.3222967
   2.6920892    8.91445412 -35.80882256  59.27471549  57.26820543
  54.18494897  13.241015    28.40657493 -56.74628756  61.46807141
  -7.89382486 -33.04904347  42.38705318  44.69641414  61.08022562
 -25.78767776  56.82364975  42.10907972 -62.72515506 -15.49782267]",1400.2866025440962,141975
7,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-11.17682856  33.26651441  86.25906546  55.48121435 -18.73421069
   7.68760014 -13.7814343   89.95041005  80.44399005  57.78905193
  -1.51110735  17.66905587 -28.38048465  41.21269582  47.61841409
  55.77207027   5.91903258   8.60866455 -66.7289926   83.96088043
  -4.78488547 -33.09094555  66.63021755  43.68462427  55.6360376
 -32.48204044  37.21725645  18.6966189  -45.51475186 -30.92074215]",1400.2379866148635,156076
8,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-22.8168618   42.29007798  77.33962591  49.04516541  -2.24686403
   9.29126715  -5.53348079  71.45043763  89.46334819  51.38172264
  -7.63101341   9.59534721 -27.38349328  32.46796359  57.50050896
  54.86088228  14.99831666   5.19524514 -50.82832958  81.41572681
 -16.34233722 -34.44530882  51.97630991  38.19280666  48.91456384
 -36.27650664  26.59457282  23.78115362 -70.15484973 -22.43909004]",1400.305582518777,156332
9,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-25.76479328  33.08727982  78.22549752  48.08774226 -13.29740741
  36.98742467 -10.39097847  80.62318401  82.11650499  56.70088624
  -8.35252564  12.05935935 -39.8703336   49.3059413   53.71831292
  53.51140405  -5.88025014  20.21800998 -38.72682843  88.03993231
  -1.38199182 -38.27355037  57.32495301  38.92908153  65.6944209
 -31.9561521   21.09428634  27.23066224 -66.52938291 -24.93704851]",1400.33609297086,144050
